,5100,9,7000,1112,1560,M5107
2019-11-28
,8:45,8:59,8:43,8:59,9:08,8:52
,10:17,10:24,10:29,10:14,10:43,10:16
,11:59,11:53,11:51,12:06,11:44,11:48
,13:20,13:16,13:21,13:28,13:16,13:25
,14:51,14:48,14:49,14:57,15:03,14:49
,16:16,16:14,16:20,16:18,16:21,16:16
2019-11-29
,8:45,8:45,8:45,8:58,8:49,8:47
,10:18,10:16,10:24,10:28,10:33,10:25
,11:48,11:51,11:57,11:56,11:44,11:47
,13:19,13:26,13:28,13:29,13:18,13:18
,14:49,14:43,15:00,14:46,14:49,14:50
,16:18,16:15,16:21,16:23,16:26,16:20
2019-12-02
,8:45,8:54,8:47,8:57,9:11,8:50
,10:21,10:14,10:23,10:24,10:50,10:22
,11:50,11:58,11:51,12:08,11:53,11:49
,13:21,13:37,13:34,13:31,13:16,13:17
,14:52,14:44,14:43,14:45,14:55,14:51
,16:15,16:16,16:23,16:19,16:18,16:18
2019-12-03
,8:46,8:50,8:48,8:46,9:02,8:44
,10:23,10:21,10:35,10:20,10:34,10:16
,11:57,11:53,11:45,11:47,11:45,11:46
,13:17,13:25,13:17,13:27,13:17,13:17
,14:52,14:43,15:01,14:55,15:06,14:44
,16:17,16:15,16:22,16:18,16:14,16:21
2019-12-04
,8:52,8:48,8:54,8:44,8:46,8:49
,10:18,10:27,10:24,10:24,10:27,10:23
,11:49,11:50,11:47,11:53,11:44,11:51
,13:33,13:19,13:26,13:27,13:16,13:16
,14:43,14:45,14:51,14:43,14:48,14:51
,16:22,16:29,16:24,16:34,16:26,16:25
2019-12-05
,8:48,8:52,8:51,9:07,8:56,8:48
,10:14,10:28,10:21,10:14,10:26,10:20
,12:01,11:50,11:50,11:44,11:44,11:46
,13:16,13:16,13:23,13:33,13:16,13:22
